date,year,quarter,month,day,y_d_1,y_d_2,y_d_3,y_d_4,y_d_5,y_d_6,y_q_1,Xi_qd,W_qd_c,W_qd_p,ind_backcast,ind_nowcast,ind_forecast1Q,ind_forecast2Q,ind_sample
1992-01-01,1992,1,1,1,-0.000453569169437075,-0.000142235635439268,-7.42137681552406e-05,-0.0006842894105269,-8.04462081330822e-05,0.000272429001684834,NaN,0,1,0,0,0,0,0,1
1992-01-02,1992,1,1,2,-0.000478935865791954,-0.000260567896158739,-8.846938594656e-05,-0.000759802245531873,-9.26888393101515e-05,0.000179352848613482,NaN,1,0.989010989010989,0.010989010989011,0,0,0,0,1
1992-01-03,1992,1,1,3,-0.000411000060383954,-0.000290136337244829,-0.000121563519117691,-0.000799999426577094,-8.90028813474365e-05,9.9440470223058e-05,NaN,1,0.978021978021978,0.021978021978022,0,0,0,0,1
1992-01-04,1992,1,1,4,-0.000420757486346982,-0.000408859333592184,-0.000117932016458281,-0.000658727687240097,-9.85700197878515e-05,0.000104737426814504,NaN,1,0.967032967032967,0.032967032967033,0,0,0,0,1
1992-01-05,1992,1,1,5,-0.000413040925348393,-0.000517077032584831,-0.000105453865041555,-0.000650822403279794,-0.00015078726508994,9.72516640743578e-05,NaN,1,0.956043956043956,0.043956043956044,0,0,0,0,1
1992-01-06,1992,1,1,6,-0.000396388317380971,-0.000516185584690532,-0.000231821611187313,-0.000687840652051606,-0.000179840760509008,9.96575692831e-05,NaN,1,0.945054945054945,0.0549450549450549,0,0,0,0,1
1992-01-07,1992,1,1,7,-0.00044838523057568,-0.000550331959250432,-0.000151940466548216,-0.000719145725658558,-0.000310729225754475,0.000100654235153426,NaN,1,0.934065934065934,0.0659340659340659,0,0,0,0,1
1992-01-08,1992,1,1,8,-0.000463151522915404,-0.000637436942692588,-0.000109635414249609,-0.000544112326930153,-0.000193759344930238,0.000114009208832299,NaN,1,0.923076923076923,0.0769230769230769,0,0,0,0,1
1992-01-09,1992,1,1,9,-0.00043759034595519,-0.000466028072333374,1.03573946909259e-05,-0.000587655342311483,-0.000205374164699085,0.000103785866374945,NaN,1,0.912087912087912,0.0879120879120879,0,0,0,0,1
1992-01-10,1992,1,1,10,-0.000427681594887339,-0.00042223375086881,3.17401528533636e-05,-0.000501190765475321,-0.000136753924458922,0.000106983906575361,NaN,1,0.901098901098901,0.0989010989010989,0,0,0,0,1
1992-01-11,1992,1,1,11,-0.000531463087701542,-0.000248123117954395,2.48021742524235e-05,-0.000383013122549612,-0.000176997877427215,0.000100890430279906,NaN,1,0.89010989010989,0.10989010989011,0,0,0,0,1
1992-01-12,1992,1,1,12,-0.000533517661132162,-0.000248393431937833,1.79370939371469e-05,-0.000311358845482238,-0.000230741701438677,0.000100026314127966,NaN,1,0.879120879120879,0.120879120879121,0,0,0,0,1
1992-01-13,1992,1,1,13,-0.000537562129438738,-0.000294925961340894,1.63104217018313e-06,-0.000354441483308497,-0.000227193905236829,5.99852683680048e-05,NaN,1,0.868131868131868,0.131868131868132,0,0,0,0,1
1992-01-14,1992,1,1,14,-0.000495429831971409,-0.000325232916534802,-8.9619968299281e-06,-0.000514743052350078,-0.000239001825385519,3.56994922060602e-05,NaN,1,0.857142857142857,0.142857142857143,0,0,0,0,1
1992-01-15,1992,1,1,15,-0.000497831647933711,-0.000423152246452417,0.000247270378411463,-0.000539979031395922,-0.000193130461040833,3.06394140077333e-05,NaN,1,0.846153846153846,0.153846153846154,0,0,0,0,1
1992-01-16,1992,1,1,16,-0.000490468308118096,-0.000407784309820858,0.000345719178346916,-0.000311813480597855,-0.000151134043004657,1.43474342566985e-06,NaN,1,0.835164835164835,0.164835164835165,0,0,0,0,1
1992-01-17,1992,1,1,17,-0.000488454836779022,-0.000355046222960745,0.000326683853109481,-0.000460619353828084,-0.000147784344182106,-3.4944928287259e-07,NaN,1,0.824175824175824,0.175824175824176,0,0,0,0,1
1992-01-18,1992,1,1,18,-0.000490803687018764,-0.000325156705735376,0.00032247067900646,-0.000381935313770454,-8.2248470719404e-05,1.2643670384991e-05,NaN,1,0.813186813186813,0.186813186813187,0,0,0,0,1
1992-01-19,1992,1,1,19,-0.000472350419790681,-0.000365071741678572,0.000321083591505224,-0.000374521093519767,-6.38819987508061e-05,1.90314453427779e-05,NaN,1,0.802197802197802,0.197802197802198,0,0,0,0,1
1992-01-20,1992,1,1,20,-0.000477619837399455,-0.000420998879434173,0.000366639614002302,-0.000440004664418829,-4.22122446192569e-05,7.27925032920467e-05,NaN,1,0.791208791208791,0.208791208791209,0,0,0,0,1
