date,year,month,financial_1,economic_1,economic_2,economic_3,economic_4,economic_5,economic_6,economic_7,economic_8,economic_9,economic_11,economic_12,d_gdp,ind_backcast,ind_nowcast,ind_forecast1Q,ind_forecast2Q
1992-01-31,1992,1,6.64917079982965,3.82627057352884,1.20193754657842,6.96365792658566,-0.981087056425967,4.72913520268889,1.15441397468654,0.276243269590992,0.667113881702264,-0.505690078897381,1.03181798477463,3.50859948227846,NaN,0,0,0,0
1992-02-29,1992,2,3.5581770340543,6.04366695557559,1.65880580838991,6.51014257401075,0.281294137661448,8.66990765391087,0.857148105014094,0.275482267884453,0.265604405811626,0.505690078897381,-0.0882056508801021,5.5722393649944,NaN,0,0,0,0
1992-03-31,1992,3,-1.63981349686884,-3.20883145515003,-2.86074335496833,-3.66803298305314,-0.84626739187339,0.74638795628168,-1.43268926207618,0.411805660891762,0.397088542949309,0.251889301948349,-0.918163803409833,-2.81048783695255,6.20673947627388,0,0,0,0
1992-04-30,1992,4,0.565221857606968,-1.64387263431598,-0.12099215027126,-1.76683041333145,-3.01963992310164,-2.31950672811401,0.288184637488875,0.54644944720792,0.395517984292759,0.376648279547709,-1.00374847781879,-2.57732161231363,NaN,0,0,0,0
1992-05-31,1992,5,4.42970296902772,1.02081765925233,-0.729043326267931,-1.37603128402164,-2.2141125877214,0.886448359664982,-0.577202179712177,0.272109011436061,0.131492458130911,-0.12539186595939,-0.579973271533696,0.502614861945894,NaN,0,0,0,0
1992-06-30,1992,6,-2.88734238118158,-1.02081765925233,-1.47422817372034,2.55737993120988,-2.26424767497591,-1.13374508396085,-1.01819061451192,0.271370587159581,0.654881187890499,0.375704887771189,-1.54355208911783,-1.39743242026,-3.0213379367563,0,0,0,0
1992-07-31,1992,7,-8.71444940741943,-2.80130362276738,-2.00006667066699,-5.18188210855817,-2.31670592815352,-1.24595046906109,-2.06802052375394,0.135409634772987,0.130463162666494,-0.250313021811799,-1.48111673435825,-3.11196415929533,NaN,0,0,0,0
1992-08-31,1992,8,-5.00477360739229,3.43073134990615,0.503779402995708,-0.0618620496065425,1.08781181471835,4.41571310469939,0.298062813813793,0.135226525001375,0,0,0.64407114849292,3.05044990536167,NaN,0,0,0,0
1992-09-30,1992,9,-3.99245081358881,-0.235571369245946,-1.01010959865038,1.47422817372034,0.61633477076688,-1.23609795905679,1.03627870355467,0.135043909787136,0.260416813838837,-0.12539186595939,-1.44664367472336,-0.548862580557774,-1.35537899151181,0,0,0,0
1992-10-31,1992,10,1.32377677623028,-1.66472334331562,-0.126984144047615,1.69290621004476,-5.85147140614275,-0.096827236415109,-1.7831081643072,0.538359308347225,0.518807908177799,-0.125549294583216,-0.457666702741211,-2.16210094087845,NaN,0,0,0,0
