date,year,quarter,month,day,y_d_1,y_d_2,y_d_3,y_d_4,y_d_5,y_d_6,y_d_7,y_d_8,y_d_9,y_d_10,y_q_1,Xi_qd,W_qd_c,W_qd_p,ind_backcast,ind_nowcast,ind_forecast1Q,ind_forecast2Q,ind_sample
1992-01-01,1992,1,1,1,-0.000320502447763103,-0.000673231515325251,0.000719080557279717,4.36073038683663e-05,-0.000312891315042664,-0.000556257366327317,-0.000221508100395489,0.000305413720104975,-0.000474090169834909,-0.000375404578300985,NaN,0,1,0,0,0,0,0,1
1992-01-02,1992,1,1,2,-0.000332949795374388,-0.000689394419158163,0.00070604471262219,-6.30105784812916e-05,-0.000315420474431304,-0.000599136854192343,-0.000278678881763753,0.00030340244659185,-0.000476090078474741,-0.000374030925482368,NaN,1,0.989010989010989,0.010989010989011,0,0,0,0,1
1992-01-03,1992,1,1,3,-0.00034049633580339,-0.00074212984994176,0.000671082211749904,-0.000224996790983407,-0.000305456535267999,-0.000456531300619236,-0.000400979955338477,0.000133935979455079,-0.000513814574495845,-0.000382509049778187,NaN,1,0.978021978021978,0.021978021978022,0,0,0,0,1
1992-01-04,1992,1,1,4,-0.000381553136362876,-0.00104382731087787,0.000689627174173148,-4.29214022315901e-05,-0.000441294503520063,-0.000498823055658546,-0.000612232113462852,0.000118442875340067,-0.000549911065745719,-0.000398647155468788,NaN,1,0.967032967032967,0.032967032967033,0,0,0,0,1
1992-01-05,1992,1,1,5,-0.000409780624845532,-0.00117753479388815,0.000542632739552573,-8.41101117461058e-05,-0.000506616193840277,-0.000900458176502837,-0.000783857119664459,7.84172923856518e-05,-0.000643767171713767,-0.000452373785180802,NaN,1,0.956043956043956,0.043956043956044,0,0,0,0,1
1992-01-06,1992,1,1,6,-0.000430231448600477,-0.00122428603273902,0.000462125218694437,-0.00023536732640998,-0.000512397046816001,-0.000950014461510293,-0.000740383808777477,6.8636882225465e-05,-0.000664976833717901,-0.000463532407135124,NaN,1,0.945054945054945,0.0549450549450549,0,0,0,0,1
1992-01-07,1992,1,1,7,-0.000427988895528787,-0.00143548163636823,-8.07591934808129e-05,-0.000294334810300873,-0.00079470909511557,-0.00126187251299941,-0.00081338483647426,6.22390446946639e-05,-0.000522138226981568,-0.000540552385117654,NaN,1,0.934065934065934,0.0659340659340659,0,0,0,0,1
1992-01-08,1992,1,1,8,-0.000480846300153525,-0.00152927120250822,-0.000130103444754183,-0.000449952721771518,-0.000570088801077345,-0.00152392469911861,-0.00099593336661013,-0.000120312355474253,-0.000563805649412943,-0.000543685060128886,NaN,1,0.923076923076923,0.0769230769230769,0,0,0,0,1
1992-01-09,1992,1,1,9,-0.000511463498463584,-0.00129068016227731,5.8317378425305e-05,-0.000361947212787191,-0.000573631222206332,-0.00117687685422815,-0.000871610336214205,-0.000115779449296583,-0.000561010115939178,-0.000548259854331687,NaN,1,0.912087912087912,0.0879120879120879,0,0,0,0,1
1992-01-10,1992,1,1,10,-0.000492262792833657,-0.00121674596185863,-0.000165581129855816,-0.000119316012762364,-0.000566053976529474,-0.001154399525685,-0.000892513423238731,-0.000109532297590295,-0.000889635700182078,-0.000553911559548843,NaN,1,0.901098901098901,0.0989010989010989,0,0,0,0,1
1992-01-11,1992,1,1,11,-0.00054155573145645,-0.000949181409865123,-0.000164118937394547,-0.00011459360073797,-0.000583495342064542,-0.00116723895408848,-0.000430083989099551,-0.000133478956952262,-0.000927641994222548,-0.000544720383666117,NaN,1,0.89010989010989,0.10989010989011,0,0,0,0,1
1992-01-12,1992,1,1,12,-0.000386122598628208,-0.000950226327098329,-0.000162863892096567,-0.000101538920452029,-0.000585951814686122,-0.00115931630310162,-0.000411629744495072,-8.91701912775063e-05,-0.000887236645442136,-0.000547274781301115,NaN,1,0.879120879120879,0.120879120879121,0,0,0,0,1
1992-01-13,1992,1,1,13,-0.00044020452008424,-0.00108631836873867,-0.000166728362734399,-0.000223221789503577,-0.000571792354118362,-0.00117146384256226,-0.000437650654247345,-9.45975483469917e-05,-0.000989295853475277,-0.000548307888004024,NaN,1,0.868131868131868,0.131868131868132,0,0,0,0,1
1992-01-14,1992,1,1,14,-0.000390020274078837,-0.00109192948377747,-0.000284824571246547,-0.000320838998396269,-0.000606389300468838,-0.00125321846897365,-0.00044245208401173,-0.00014103783628193,-0.0010226602531177,-0.000602396757660025,NaN,1,0.857142857142857,0.142857142857143,0,0,0,0,1
1992-01-15,1992,1,1,15,-0.000398248170163158,-0.00110274710294613,0.000223560144059355,-0.000420969302633715,-0.000539294294427511,-0.00100361172062364,-0.000474212627642268,-0.000168511953810889,-0.000980625248227517,-0.000585700610137285,NaN,1,0.846153846153846,0.153846153846154,0,0,0,0,1
1992-01-16,1992,1,1,16,-0.000415773514758998,-0.00110259586084502,0.000404181175881001,-0.000445332865799442,-0.000473729985767397,-0.00103485499935946,-0.000477840233434115,-0.000224331979486021,-0.0010422859782712,-0.000557904990826552,NaN,1,0.835164835164835,0.164835164835165,0,0,0,0,1
1992-01-17,1992,1,1,17,-0.000460825008415727,-0.00115450140810217,-0.000200843966729741,-0.000602025437725393,-0.000474923025311413,-0.0012565808750088,-0.000547430556345804,-0.000233043770649484,-0.00116100021714161,-0.000566842985720825,NaN,1,0.824175824175824,0.175824175824176,0,0,0,0,1
1992-01-18,1992,1,1,18,-0.000448340346297111,-0.00116396759608275,-0.000161888351614872,-0.000375176784158311,-0.000351581351379902,-0.00122745978070922,-0.000774454416823663,-0.000225314728558071,-0.00104495614308885,-0.000559063359677757,NaN,1,0.813186813186813,0.186813186813187,0,0,0,0,1
1992-01-19,1992,1,1,19,-0.000367840530555829,-0.00102792638579025,-0.000175806485733107,-0.000126696306578821,-0.000203774659095174,-0.000989917981482641,-0.000461337273429515,-0.000174478518607479,-0.00107790783103517,-0.00055984797907465,NaN,1,0.802197802197802,0.197802197802198,0,0,0,0,1
1992-01-20,1992,1,1,20,-0.000365904064023786,-0.00107096609857976,-0.000110626627859662,-0.000463187497112487,-9.36983515201176e-05,-0.000754853347667345,-0.000551149685944086,-0.000229403428709401,-0.000999787984359127,-0.000556698721628725,NaN,1,0.791208791208791,0.208791208791209,0,0,0,0,1
1992-01-21,1992,1,1,21,-0.000386215544953816,-0.00107216504835988,9.56692978464422e-05,-0.000569642851419133,-0.000129962476237897,-0.00101630364749412,-0.000539133602341169,-0.000219628795057373,-0.000867508949898338,-0.00053580011938659,NaN,1,0.78021978021978,0.21978021978022,0,0,0,0,1
1992-01-22,1992,1,1,22,-0.000366747434703456,-0.00090370797413637,0.000112661993901146,-0.000504092705838988,-8.74348464916132e-05,-0.000857587609617981,-0.000517585734462691,-0.000221545269607703,-0.000948136511134039,-0.00052914783000748,NaN,1,0.769230769230769,0.230769230769231,0,0,0,0,1
1992-01-23,1992,1,1,23,-0.000397083663325441,-0.00131187799843783,2.24130976170783e-05,-0.000665584568207409,-0.000178399402275031,-0.000874898973460352,-0.000547244789372954,-0.00026717115164531,-0.00100647629586276,-0.000539870232449384,NaN,1,0.758241758241758,0.241758241758242,0,0,0,0,1
1992-01-24,1992,1,1,24,-0.000288264564844986,-0.00100343327489747,3.0599398346516e-05,-0.000719428205166349,-0.000189604590920233,-0.000835970442615989,-0.000511309362171778,-0.000237898646094321,-0.0010074156238397,-0.000527773926831773,NaN,1,0.747252747252747,0.252747252747253,0,0,0,0,1
1992-01-25,1992,1,1,25,-0.000284376578325662,-0.000826039108002845,1.75081020096816e-05,-0.000544705277267641,-0.000200009677228033,-0.000913040414327909,-0.000513697064679691,-0.00022830203741387,-0.0010059406988894,-0.000531932647204398,NaN,1,0.736263736263736,0.263736263736264,0,0,0,0,1
1992-01-26,1992,1,1,26,-2.11507808933895e-05,-0.000589613651895946,5.88111631964624e-05,-0.000505078226339585,-0.000418159286898803,-0.000603715069957235,-0.000474197600318611,-0.00028056750522633,-0.000993090255009127,-0.000538996752114039,NaN,1,0.725274725274725,0.274725274725275,0,0,0,0,1
1992-01-27,1992,1,1,27,0.000260708720057775,-0.000556936551166314,0.000557094904768646,-0.000144821142678817,-0.000483306902759588,-0.000771106683703081,-0.000519428980537087,-0.000197805599571084,-0.00088744369266404,-0.000559878505313186,NaN,1,0.714285714285714,0.285714285714286,0,0,0,0,1
1992-01-28,1992,1,1,28,0.000413111605680616,-0.0007703715117486,0.000445498166021599,-0.00034735529363591,-0.000465000846874575,-0.000917468396924295,-0.000595154634894285,-0.00021111592484757,-0.000846365860108185,-0.000563585027563447,NaN,1,0.703296703296703,0.296703296703297,0,0,0,0,1
1992-01-29,1992,1,1,29,0.000342645738143312,-0.0010498700969519,0.00047729439042611,-0.000530371480748573,-0.000488408904550303,-0.000937643769186501,-0.000630234716323076,-0.000217996390408669,-0.00077098438481405,-0.000566615823475507,NaN,1,0.692307692307692,0.307692307692308,0,0,0,0,1
1992-01-30,1992,1,1,30,0.000313051678895218,-0.00107811777805283,0.000526150017497171,-0.00106825519088193,-0.000479643022978212,-0.0010305501165457,-0.00070727268885301,-0.000216672813451816,-0.000619924946437924,-0.000519979462633526,NaN,1,0.681318681318681,0.318681318681319,0,0,0,0,1
1992-01-31,1992,1,1,31,0.000265940911052506,-0.000541033588108404,0.000667573150319085,-0.000960500269851757,-0.000482148733646575,-0.000875830933480511,-0.00085515063332966,-0.000215273960013387,-0.000564156374243837,-0.000513531578154732,NaN,1,0.67032967032967,0.32967032967033,0,0,0,0,1
1992-02-01,1992,1,2,1,0.000292299041570028,-0.000560206321622211,0.000690099316112264,-0.0009190041592961,-0.000472152216527639,-0.000880889575188188,-0.000757719372925744,-0.000193370991805608,-0.000596112079534889,-0.00051622595718062,NaN,1,0.659340659340659,0.340659340659341,0,0,0,0,1
1992-02-02,1992,1,2,2,0.0004252133536125,-0.000504416266455392,0.000765160972440229,-0.000653513952080386,-0.000431660818727685,-0.00085380945151141,-0.0006021576729614,-2.41485650586254e-05,-9.90396814239075e-05,-0.000504700615423438,NaN,1,0.648351648351648,0.351648351648352,0,0,0,0,1
1992-02-03,1992,1,2,3,0.000355183210389224,-0.000302607932758375,0.000673794206066847,-0.000882323223677113,-0.000405930461415427,-0.000836744264354539,-0.000435088255062692,-2.62349788487204e-05,-0.000137640476252647,-0.000489118085065735,NaN,1,0.637362637362637,0.362637362637363,0,0,0,0,1
1992-02-04,1992,1,2,4,0.000394937090580939,-0.000391555738425302,0.000406108450021363,-0.00090972534470709,-0.000177573731034327,-0.000743604442955388,-0.000359969626331137,-1.84034432394374e-05,-0.00041890066626913,-0.000445367752079617,NaN,1,0.626373626373626,0.373626373626374,0,0,0,0,1
1992-02-05,1992,1,2,5,0.000394951789924529,-0.000605244802312618,0.000305840598214407,-0.000836201757551241,-0.000184497451756881,-0.000743427099248352,-0.0004295020804572,3.87687353417191e-06,-0.000373668962813869,-0.000439119028198142,NaN,1,0.615384615384615,0.384615384615385,0,0,0,0,1
1992-02-06,1992,1,2,6,0.000414641264440565,-0.000582026033232029,0.000127805492381129,-0.000743748953323328,8.94942959542183e-05,-0.000716853124301509,-0.000299733003021517,9.21330030561631e-06,-0.000528665289220728,-0.000365065451608072,NaN,1,0.604395604395604,0.395604395604396,0,0,0,0,1
1992-02-07,1992,1,2,7,0.000457338310036813,-0.00046214292244806,8.29678139674433e-05,-0.000631825371602394,-0.000135120422546262,-0.000724488442772253,-0.000218591013487208,-2.16071846792573e-05,-0.000448547025291829,-0.000374797742051502,NaN,1,0.593406593406593,0.406593406593407,0,0,0,0,1
1992-02-08,1992,1,2,8,0.000499058023475356,-0.000666744482246976,-0.000124583587692872,-0.000629328129780275,-0.000135306835941446,-0.000874074619747265,-0.000281833485533418,-2.6575402543239e-05,-0.000455644547770541,-0.000356496122407917,NaN,1,0.582417582417582,0.417582417582418,0,0,0,0,1
1992-02-09,1992,1,2,9,0.000411743248637515,-0.000641358585000228,-0.000566260402170669,-0.000732747945832672,-0.000113202171373597,-0.000740253846952752,-0.000305830189441963,-1.36724551049423e-05,-0.000318776344351804,-0.000367949599852739,NaN,1,0.571428571428571,0.428571428571429,0,0,0,0,1
1992-02-10,1992,1,2,10,0.000401726027786058,-0.000926017889399091,-0.000562881437345814,-0.000812124693157029,-0.000104049131047215,-0.000520482003354363,-0.000755829084327299,-3.3999627982939e-06,-5.4413009884101e-06,-0.00037598318106547,NaN,1,0.56043956043956,0.43956043956044,0,0,0,0,1
1992-02-11,1992,1,2,11,0.000378835945537096,-0.00108610678568307,-0.000567779439261999,-0.00083528727785937,-0.00013739658022358,-0.000504332767579058,-0.000765772347328571,-5.945284966655e-05,4.24784986962235e-06,-0.000355185920902173,NaN,1,0.549450549450549,0.450549450549451,0,0,0,0,1
1992-02-12,1992,1,2,12,0.000376783355671137,-0.00117666910088219,-0.000573380991682747,-0.000805795639187047,-0.000160697827865411,-0.000504232240257248,-0.000830062847119878,-6.30575150713694e-05,7.56054169974447e-05,-0.000365166587938599,NaN,1,0.538461538461538,0.461538461538462,0,0,0,0,1
1992-02-13,1992,1,2,13,0.000328611560568117,-0.00112816329053586,-0.000418044272976053,-0.000687598624651121,-0.000120233274785402,-0.000469982354988702,-0.000770879991889293,-1.89525639883845e-05,0.000211269128871262,-0.000377130185529304,NaN,1,0.527472527472527,0.472527472527473,0,0,0,0,1
1992-02-14,1992,1,2,14,0.000270020500180518,-0.00084544136655284,-0.000659772278676379,-0.000779259547314605,-0.000229965661551672,-0.000735122481367592,-0.000716452018696842,-2.78344542070587e-07,-0.000295600916186385,-0.000376970082431116,NaN,1,0.516483516483517,0.483516483516484,0,0,0,0,1
1992-02-15,1992,1,2,15,0.000270855533562105,-0.000841087219090887,-0.000838538041727174,-0.000738571995275215,-0.000273037297784298,-0.000538268179532085,-0.000785622486199088,-2.31086074457837e-06,-0.000297824489407952,-0.00041122038193366,NaN,1,0.505494505494505,0.494505494505495,0,0,0,0,1
